padjScreen t15 t1 t3
Sro1642_g288010 0 0 0 0
Sro1645_g288240 0 0 0 0
Sro1646_g288310 0 0 0 0
Sro164_g073640 0 0 0 0
Sro164_g073660 0 0 0 0
Sro164_g073680 0 0 0 0
Sro1654_g288920 0 0 0 0
Sro1655_g289000 0 0 0 0
Sro1659_g289240 0 0 0 0
Sro165_g073830 0 0 0 0
Sro165_g073850 0 0 0 0
Sro165_g073920 0 0 0 0
Sro165_g073970 0 0 0 0
Sro1663_g289440 0 0 0 0
Sro1663_g289460 0 0 0 0
Sro1663_g289470 0 0 0 0
Sro1665_g289590 0 0 0 0
Sro1666_g289740 0 0 0 0
Sro1668_g289870 0 0 0 0
Sro1668_g289900 0 0 0 0
Sro166_g074060 0 0 0 0
Sro166_g074110 0 0 0 0
Sro166_g074250 0 0 0 0
Sro1671_g290030 0 0 0 0
Sro1671_g290040 0 0 0 0
Sro1672_g290140 0 0 0 0
Sro1672_g290150 0 0 0 0
Sro1673_g290240 0 0 0 0
Sro1676_g290490 0 0 0 0
Sro167_g074340 0 0 0 0
Sro167_g074570 0 0 0 0
Sro167_g074630 0 0 0 0
Sro1686_g291180 0 0 0 0
Sro1688_g291280 0 0 0 0
Sro1689_g291320 0 0 0 0
Sro168_g074700 0 0 0 0
Sro168_g074880 0 0 0 0
Sro1691_g291450 0 0 0 0
Sro1691_g291460 0 0 0 0
Sro1692_g291510 0 0 0 0
Sro1695_g291710 0 0 0 0
Sro1695_g291780 0 0 0 0
Sro1697_g291870 0 0 0 0
Sro1698_g291930 0 0 0 0
Sro1699_g292020 0 0 0 0
Sro16_g011520 0 0 0 0
Sro16_g011590 0 0 0 0
Sro16_g011980 0 0 0 0
Sro1703_g292290 0 0 0 0
Sro1706_g292490 0 0 0 0
Sro1707_g292650 0 0 0 0
Sro1708_g292680 0 0 0 0
Sro1709_g292700 0 0 0 0
Sro1709_g292730 0 0 0 0
Sro1712_g292910 0 0 0 0
Sro1716_g293190 0 0 0 0
Sro1716_g293200 0 0 0 0
Sro1718_g293350 0 0 0 0
Sro1719_g293450 1 0 0 1
Sro171_g075710 0 0 0 0
Sro1721_g293510 0 0 0 0
Sro1724_g293660 0 0 0 0
Sro1727_g293870 0 0 0 0
Sro1727_g293920 0 0 0 0
Sro1729_g294060 0 0 0 0
Sro1730_g294090 0 0 0 0
Sro1730_g294110 0 0 0 0
Sro1730_g294120 0 0 0 0
Sro1732_g294160 0 0 0 0
Sro1734_g294290 0 0 0 0
Sro1736_g294400 0 0 0 0
Sro1737_g294470 0 0 0 0
Sro173_g076200 0 0 0 0
Sro1740_g294600 0 0 0 0
Sro1741_g294610 0 0 0 0
Sro1743_g294820 0 0 0 0
Sro1743_g294830 0 0 0 0
Sro174_g076630 0 0 0 0
Sro174_g076690 0 0 0 0
Sro174_g076810 0 0 0 0
Sro174_g076820 0 0 0 0
Sro1751_g295270 0 0 0 0
Sro1753_g295400 0 0 0 0
Sro1755_g295550 0 0 0 0
Sro1755_g295570 0 0 0 0
Sro1759_g295820 0 0 0 0
Sro175_g077070 0 0 0 0
Sro1760_g295830 0 0 0 0
Sro1762_g295960 0 0 0 0
Sro1764_g296070 0 0 0 0
Sro1767_g296290 0 0 0 0
Sro1769_g296410 0 0 0 0
Sro176_g077200 0 0 0 0
Sro176_g077340 0 0 0 0
Sro176_g077530 0 0 0 0
Sro1777_g296950 0 0 0 0
Sro177_g077610 0 0 0 0
Sro177_g077620 0 0 0 0
Sro177_g077680 0 0 0 0
Sro177_g077700 0 0 0 0
Sro177_g077730 0 0 0 0
Sro177_g077860 0 0 0 0
Sro177_g077940 0 0 0 0
Sro1781_g297090 0 0 0 0
Sro1781_g297100 0 0 0 0
Sro1782_g297130 0 0 0 0
Sro1782_g297140 0 0 0 0
Sro1782_g297180 0 0 0 0
Sro1782_g297190 0 0 0 0
Sro1783_g297250 0 0 0 0
Sro1784_g297310 0 0 0 0
Sro1786_g297410 0 0 0 0
Sro1786_g297430 0 0 0 0
Sro178_g078120 0 0 0 0
Sro1791_g297770 0 0 0 0
Sro1792_g297890 0 0 0 0
Sro1795_g298050 0 0 0 0
Sro1799_g298320 0 0 0 0
Sro179_g078350 0 0 0 0
Sro179_g078500 0 0 0 0
Sro17_g012030 0 0 0 0
Sro17_g012040 0 0 0 0
Sro17_g012090 0 0 0 0
Sro17_g012240 0 0 0 0
Sro17_g012330 0 0 0 0
Sro17_g012450 0 0 0 0
Sro17_g012470 0 0 0 0
Sro17_g012530 0 0 0 0
Sro17_g012540 0 0 0 0
Sro1802_g298540 0 0 0 0
Sro1803_g298600 0 0 0 0
Sro1806_g298910 0 0 0 0
Sro1807_g298950 0 0 0 0
Sro180_g078690 0 0 0 0
Sro180_g078710 0 0 0 0
Sro180_g078750 0 0 0 0
Sro180_g078870 0 0 0 0
Sro180_g078880 0 0 0 0
Sro180_g078910 0 0 0 0
Sro1810_g299130 0 0 0 0
Sro1815_g299440 0 0 0 0
Sro181_g079140 0 0 0 0
Sro1824_g300030 0 0 0 0
